id,year,speech_year,date,description,subtitle,words,majortopic,filter_international,filter_duplicate
31,1960,52,20/01/1960,Lord Shrewsbury To Sell Home,"Reserve Of ?10,000 On Ingestre Hall",295,34,0,0
32,1960,52,20/01/1960,Labour Agreement On Form Of Apartheid Boycott,,535,18,0,0
33,1960,52,20/01/1960,Effort 'Too Small' In Coal Research,National Policy For Energy Urged,320,8,0,0
34,1960,52,20/01/1960,B.B.C. Takes A New Broom To Music,,585,17,0,0
35,1960,52,20/01/1960,Dr. Heenan's Criticism Of Birth Control,Advocates Likened To G?ing,209,3,0,0
36,1960,52,20/01/1960,Car Works In Scotland,Early Statement By B.M.C. Expected,234,10,0,0
37,1960,52,20/01/1960,Oxford Flatlets For Old People,Minister Praises Pioneer Work,312,14,0,0
38,1960,52,20/01/1960,Egypt Gets Soviet Bombers And Tanks,Britain Tries to Bring About Closer Accord with the United States,7113,16,1,0
39,1960,52,27/01/1960,Deadlock On Engineering Pay And Hours,Better Offer Rejected: Joint Committee Set Up,1024,5,0,0
40,1960,52,27/01/1960,October 16 Meeting With French Ministers,Nasser's Policies were Provoking Israel Beyond Endurance,5647,19,0,0
41,1960,52,27/01/1960,B.M.C. Warning On Threat To Car Production,,501,10,0,0
42,1960,52,27/01/1960,Way To Better Advertising,Report Suggests A New Committee,320,15,0,0
43,1960,52,27/01/1960,Eighteen-Storey Hospital,Hampstead START Likely In 1961,399,3,0,0
44,1960,52,27/01/1960,Coroner's Question On Tonnage Pay For Barton Bridge Men,Evidence On Bracing For Girders,1064,12,0,0
45,1960,52,03/02/1960,800 To End Car Body Strike,More B.M.C. Men Made Idle,393,10,0,0
46,1960,52,03/02/1960,Motor Factory For Merseyside?,Ford Announcement Expected Soon,128,10,0,0
47,1960,52,03/02/1960,Rootes Hopes For Scots Factory,Agreement On Pay In Talks With Unions,192,15,0,0
48,1960,52,03/02/1960,Family Of 10 Found In 10ft. By 8ft. Chalet,,148,34,0,0
49,1960,52,03/02/1960,Rare Bird Seen Over Television Studios,First London Kite For More Than A Century,161,7,0,0
50,1960,52,03/02/1960,Anglo-U.S. Satellite Will Go 600 Miles High,Data To Be Analysed In Britain,478,17,0,0
51,1960,52,03/02/1960,Murder Weapon Believed Found,,133,12,0,0
52,1960,52,03/02/1960,Boycott Of Irish Goods Suggested,To Halt Horse Trade,169,18,0,0
53,1960,52,03/02/1960,Record Cruft's Entry,Benching Replanned For Bigger Show,131,28,0,0
54,1960,52,03/02/1960,Gillingham Leaving Merger Scheme,,104,15,0,0
55,1960,52,03/02/1960,Fears For Trees At Flatford Mill,Warden's Warning Of SALT Water,682,7,0,0
56,1960,52,10/02/1960,Sales Of Women's Wear Up 30%,On Men's Side,256,15,0,0
57,1960,52,10/02/1960,Change Of Name For Royal Descendants,By The Queen's Decision,194,34,0,0
58,1960,52,10/02/1960,Somerset Fighting To Stay Whole,Latest Claim From Wiltshire,220,24,0,0
59,1960,52,10/02/1960,Training College For Youth Leaders,,135,6,0,0
60,1960,52,10/02/1960,Mr. Peter Scott Puts Case For The Geese,Dispute Over Path In Sanctuary,602,34,0,0
61,1960,52,10/02/1960,Bet Collecting In Clubs,Proposals Removed By Committee,594,15,0,0
62,1960,52,17/02/1960,Support For Strikers At Betteshanger,,190,5,0,0
63,1960,52,17/02/1960,Fertilizer Manufacturer Urged To Cut Prices,Minister To Consult Firms On Monopolies Report,1183,4,0,0
64,1960,52,17/02/1960,No Complaints By Fisons Chairman,Price Policy Already Modified,312,15,0,0
65,1960,52,17/02/1960,E.T.U. Leader Defends Poll,B.B.C. Accused Of McCarthyism,701,5,0,0
66,1960,52,17/02/1960,T.U.C. Get Pile Of Strike Returns,,136,5,0,0
67,1960,52,17/02/1960,This Undesirable Tenant,Lord Valentine Thynne Must Leave Flat,328,14,0,0
68,1960,52,17/02/1960,"Increase Of ?115,700,000 In Defence Estimates",Bomber Force To Be Improved,1225,16,0,0
69,1960,52,24/02/1960,Oxford Vote Against Latin For All Entrants,Examination In Use Of English,1032,6,0,0
70,1960,52,24/02/1960,Nominations Close For Chancellor,Sir O. Franks Group On Their Reasons,610,20,0,0
71,1960,52,24/02/1960,Colleges' Duty To University,Cambridge Fellows 'Apartheid' Claim,587,6,0,0
72,1960,52,24/02/1960,Safeguard For Pay By Cheque,Minister Promises To Study Arguments,274,15,0,0
73,1960,52,24/02/1960,Treasures Of Scots Guards On Show,,152,16,0,0
74,1960,52,24/02/1960,Opening Of New Obstetric Unit,Harshness At Some Clinics Criticized,374,3,0,0
75,1960,52,24/02/1960,Stabbing By Woman Was Manslaughter,5 Years For Killing Man After Party,496,12,0,0
76,1960,52,02/03/1960,A.E.U. Post Won By Communist?,North London Organizer,316,5,0,0
77,1960,52,02/03/1960,Intruder With Knife Gets Five Years,,175,12,0,0
78,1960,52,02/03/1960,Unfair,Granada Claim To Have Been Objective,400,17,0,0
79,1960,52,02/03/1960,Rail Unions Demand Shorter Week,Arbitration Expected,230,10,0,0
80,1960,52,02/03/1960,Colour Television Deal With E. Germans,British Firm's Sale,126,17,0,0
81,1960,52,02/03/1960,Honest John Missile Unit,,117,16,0,0
82,1960,52,09/03/1960,Late Shopping Night May Be Stopped,Corporation Want 7 P.M. Deadline,313,15,0,0
83,1960,52,09/03/1960,Walk Leader Loses Amateur Status,Midlands A.A.A. Ban,184,29,0,0
84,1960,52,09/03/1960,L.C.C. Will Need To Borrow ?100M.,Three-Year Programme,210,24,0,0
85,1960,52,09/03/1960,Statement On Civil Defence Urged,L.C.C. Call For Nuclear Disarmament,309,16,0,0
86,1960,52,09/03/1960,Manufacturers Working To Perfect Oil Heaters,Two Pass Safety Test: Claim That Draught Problem IS Conquered,799,15,0,0
87,1960,52,09/03/1960,House Damaged In Oil-Heater Fire,,348,27,0,0
88,1960,52,09/03/1960,Print Unions Seek To Amalgamate,Lines Of Demarcation Breaking Down,344,5,0,0
89,1960,52,09/03/1960,Stratford's New Policy,,454,24,0,0
90,1960,52,09/03/1960,Coventry Gallery's Help for Local Artists,,582,28,0,0
91,1960,52,16/03/1960,Soldier Drowned In Exercise,Two Others Missing,212,16,0,0
92,1960,52,16/03/1960,Rail Workshop Pay Offer,B.T.C. Reject Claim For 40-Hour Week,325,10,0,0
93,1960,52,16/03/1960,Rise For London Bus Workers,Acceptance To Be Recommended,334,10,0,0
94,1960,52,16/03/1960,Charge Of Wounding Woman At Farm,,175,12,0,0
95,1960,52,16/03/1960,Trials,Rattle Interrupts Proceedings,430,12,0,0
96,1960,52,16/03/1960,More Funds Needed For Oxford Buildings,,190,6,0,0
97,1960,52,16/03/1960,Warning Of Threat To Freedom,Collusion,322,34,0,0
98,1960,52,16/03/1960,Change Of Owner But Not Title,Criticism Of Big Shops' Take-Over Policy,176,15,0,0
99,1960,52,16/03/1960,Re-Employment For 80 Of 120 Dismissed Men,Unions Accept Offer By Car Firm,222,10,0,0
100,1960,52,23/03/1960,The Success Of Expanding Industries In Northern Ireland,,1182,21,0,0
101,1960,52,23/03/1960,Plea For Labour To Work In UNISON,,191,33,0,0
102,1960,52,23/03/1960,$2M. U.S. Grant For West Indies,,133,19,1,0
103,1960,52,23/03/1960,Sir Geoffrey Crowther Answers Critics,Faith In His Recommendations Not Shaken,1920,99,0,0
104,1960,52,23/03/1960,Experiment With 40 M.P.H. Limit Proves Successful,Slower Speeds And Fewer Accidents On Roads Formerly Unrestricted,732,10,0,0
105,1960,52,23/03/1960,Protecting The Citizen Against Bureaucracy,Plan For Official To Deal With Complaints,139,20,0,0
106,1960,52,23/03/1960,Theft Victim To Quit Council House,,101,12,0,0
107,1960,52,23/03/1960,Safemakers Agree With Critic,Unwise Retention Of Outdated Types,428,15,0,0
108,1960,52,23/03/1960,Losing Enterprise,Effect Of Gaming Bill,364,15,0,0
109,1960,52,23/03/1960,Over Output,Method Of Organized Restriction,406,15,0,0
110,1960,52,23/03/1960,High Level Walks And Bridging In The City,,420,14,0,0
111,1960,52,23/03/1960,8 Months In Tube Trains,Home On Underground,156,10,0,0
112,1960,52,23/03/1960,Testing Lifeboats For Tankers,,111,10,0,0
113,1960,52,23/03/1960,Fords Agree To Go To Merseyside,Difference Resolved,205,10,0,0
114,1960,52,23/03/1960,Argument Over Access Roads,,204,10,0,0
115,1960,52,23/03/1960,Dagenham Men Again Walk Out,,114,5,0,0
116,1960,52,30/03/1960,Frank Exchanges On Racial Issues,Private Occasions At Prime Ministers' Conference,2362,2,0,0
117,1960,52,30/03/1960,War On Want,Aims Of New U.N. Agency,1065,19,0,0
118,1960,52,30/03/1960,Putting The Post Office On Commercial Basis,Social Obligations Retained,941,20,0,0
119,1960,52,30/03/1960,Under-Developed' Britain,Lord Hailsham On 250 Years Of Change,235,1,0,0
120,1960,52,30/03/1960,Mr. Bullen Holds Clear Lead,Stowell Park Horse Trials,388,99,0,0
121,1960,52,30/03/1960,By R.S.P.C.A.,FOX Hunting Criticism,320,4,0,0
122,1960,52,30/03/1960,Extension To Royal College Of Surgeons,"?375,000 Building Opened",159,3,0,0
123,1960,52,30/03/1960,Hospitals Urged To Reconsider Visits Of Spiritual Healers,,650,3,0,0
124,1960,52,30/03/1960,Call To Ignore Token Strikes,A.E.U. Order To Gas Workers,709,5,0,0
125,1960,52,30/03/1960,New Social Service Courses,University Scheme To START This Year?,533,13,0,0
126,1960,52,30/03/1960,Preparing For State Processions,,154,20,0,0
127,1960,52,06/04/1960,New Pattern For British Air Transport,Partnerships Between State And Free Enterprise,1521,10,0,0
128,1960,52,06/04/1960,Scottish Angling Development,,131,21,0,0
129,1960,52,06/04/1960,Electricity Pay Talks Fail,Shop Stewards To Discuss Action,494,8,0,0
130,1960,52,06/04/1960,"A.E.U. Warn 10,000 Shop Stewards",Penalties Unofficial Action Can Bring,205,5,0,0
131,1960,52,06/04/1960,Shipyard Dismiss 180 Platers,Sequel To Stoppages,187,10,0,0
132,1960,52,06/04/1960,February Rise In Employment,"Total Up By 21,000 To 23,338,000",172,1,0,0
133,1960,52,06/04/1960,More Transport Planning Urged,Labour Women's Call,264,10,0,0
134,1960,52,06/04/1960,Mini-Car With ?65 Allowance For Disabled,Minister's Pledge To Ex-Service Men,277,13,0,0
135,1960,52,13/04/1960,Meticulous Care,,201,99,0,0
136,1960,52,13/04/1960,Labour Split In Paisley,Two Candidates For One Seat,208,33,0,0
137,1960,52,13/04/1960,Nuclear Station Opposed,Particularly Advantageous,240,8,0,0
138,1960,52,13/04/1960,Cleared Of Causing Three Road Deaths,,233,10,0,0
139,1960,52,13/04/1960,Daffodils With Split Cups,Few Admirers To Be Found,397,7,0,0
140,1960,52,13/04/1960,Panic-Stricken,Paid Moneys Out Of Clients' Account,286,99,0,0
141,1960,52,13/04/1960,Too Many And Too Small,Mr. Thomson's View Of Newspapers,250,17,0,0
142,1960,52,13/04/1960,B.M.A. Council Back Pay Offer,,111,3,0,0
143,1960,52,13/04/1960,Bible Reading Instead Of Sermon At Royal Wedding,Princess Will Promise To Obey,1088,34,0,0
144,1960,52,13/04/1960,Fish Market Concern,Effect Of Iceland Truce,216,4,0,0
145,1960,52,13/04/1960,"?16,911 At Grimsby For Big Catch",,109,4,0,0
146,1960,52,13/04/1960,P.O. Workers' Plea For Shorter Week,,125,5,0,0
147,1960,52,13/04/1960,Col. Lort-Phillips's Offer To Liberals,,131,33,0,0
148,1960,52,20/04/1960,Academy Accept Painting By Boy Of 15,Work For Summer Exhibition,196,28,0,0
149,1960,52,20/04/1960,Dr. Ramsey Leaves For Central Africa,,174,19,0,0
150,1960,52,20/04/1960,Threat To Sue Over Factory Noise,Resident Upset By Men's Language,302,15,0,0
151,1960,52,20/04/1960,Labour M.P.s' Telegram Misunderstood,Seven Not Sponsored By Co-Operative Party,205,20,0,0
152,1960,52,20/04/1960,Vicar Apologizes To Parents,Curate's Incentive Test,225,31,0,0
153,1960,52,20/04/1960,Gliding Rally Won By Mr. P. Wills,Final Day At The Long Mynd,241,29,0,0
154,1960,52,20/04/1960,Break Traced In Ocean Cable,Repair Hampered By Bad Weather,539,17,0,0
155,1960,52,20/04/1960,An Artist With A Quest For Truth,,634,28,0,0
156,1960,52,20/04/1960,300 Entrants In Chess Congress At Bognor,,143,29,0,0
157,1960,52,20/04/1960,American Singer's Body To Be Flown Home,,104,28,0,0
158,1960,52,20/04/1960,Alternative Offer To Unions,"Wage Decision For 9,000 Deferred",239,5,0,0
159,1960,52,20/04/1960,Trade Mission From Colombia,,103,18,0,0
160,1960,52,20/04/1960,?120 Snatch At Post Office,,143,20,0,0
161,1960,52,27/04/1960,Another ?1 A Week Claim By A.E.U. Likely This Summer,,635,5,0,0
162,1960,52,27/04/1960,Voting Objection At Fulham,,152,24,0,0
163,1960,52,27/04/1960,Evil Atmosphere,Effect On Warder Officers' Wives,526,99,0,0
164,1960,52,27/04/1960,Test Pilot's Crash Death,Secret Work On Aircraft,221,10,0,0
165,1960,52,27/04/1960,Woman Doctor Pleads For Safer House Planning,,791,14,0,0
166,1960,52,27/04/1960,Order Of Ceremony For Royal Wedding,"Total Of 2,068 Guests",1632,34,0,0
167,1960,52,27/04/1960,"5,000 Idle After Token Strike",Day's Stoppage At Morris Motors,244,5,0,0
168,1960,52,27/04/1960,Censure Of Council Chairman Rejected,Speech In Forbidden Shopping Centre,172,24,0,0
169,1960,52,04/05/1960,STEEL-Spring report to the Nation,The battle for exports: Steelmen optimistic,2218,1,0,0
170,1960,52,04/05/1960,Strong Case' For Decimal Coinage,Call For Early Decision By The Government,787,1,0,0
171,1960,52,04/05/1960,Will Rule World,Duke On The Biggest Education Need,460,19,0,0
172,1960,52,04/05/1960,War Graves Meeting,,102,16,0,0
173,1960,52,04/05/1960,Bible Society's New Secretary,Rev. Dr. W. J. Platt Retiring,253,31,0,0
174,1960,52,04/05/1960,Western Nigerian Premier Angry,Expel South Africa From Commonwealth,261,19,0,0
175,1960,52,04/05/1960,Work Starts On B.M.C. Factory,"?3,250,000 Liverpool Scheme",246,10,0,0
176,1960,52,11/05/1960,Britannia Crash Still Mystery,Automatic Pilot May Have Failed,367,10,0,0
177,1960,52,11/05/1960,Good Stallions At Penrith,Fell Pony Society's Show,265,4,0,0
178,1960,52,11/05/1960,Bird Preservation Council's Work,More Countries Join World Body,208,7,0,0
179,1960,52,11/05/1960,Mrs. Diefenbaker Launches Liner,Empress Of Canada Dual-Purpose Ship,300,10,0,0
180,1960,52,11/05/1960,Chartered Auctioneers' Institute,Examination Results,189,5,0,0
181,1960,52,11/05/1960,In Prison Pending Extradition,,146,12,0,0
182,1960,52,11/05/1960,Mayor Of Madrid In London,Son Engaged To Sussex Girl,280,19,0,0
183,1960,52,18/05/1960,Speeding Action On Traffic,Advising Minister Under New Bill,1065,10,0,0
184,1960,52,18/05/1960,Closure Of Branch Lines Criticized,Union Leader On Need To Uphold Service,410,10,0,0
185,1960,52,18/05/1960,The British South Africa Company (INCORPORATED BY ROYAL CHARTER),Rhodesians Follow Mr. Rhodes In The Path Of The Merchant Adventurers,4157,15,0,0
186,1960,52,18/05/1960,Trade Talks At Lisbon,U.K. Attitude Will Be Forthcoming,2899,18,0,0
187,1960,52,18/05/1960,Guarantees For Teachers Ready To Serve Abroad,Prospects Unimpaired On Return,2120,6,0,0
188,1960,52,18/05/1960,Delivery Soon Of U.S. 8in. Howitzer,Capable Of Firing Atomic Shells,241,16,0,0
189,1960,52,18/05/1960,Mr. Watkinson For Canada And U.S.,Defence Discussions,176,19,0,0
190,1960,52,18/05/1960,Hovercraft Shows Its Versatility,Thames Demonstration,307,10,0,0
191,1960,52,18/05/1960,Oxford's Entrance Requirements,Congregation Agree To New Statute,412,6,0,0
192,1960,52,18/05/1960,Issue Of Wimbledon Debentures,Centre Court Seats For ?350,228,29,0,0
193,1960,52,25/05/1960,General Workers' Union Back Mr. Gaitskell,Leader's View Of Conference Decisions And Party M.P.s,1106,5,0,0
194,1960,52,25/05/1960,Virtually Certain,,723,99,0,0
195,1960,52,25/05/1960,Mr. T. S. Eliot Opens Library Memorial,,123,28,0,0
196,1960,52,25/05/1960,Hitch In Arms Policy Talks,Too Few At T.U.C. Meeting,412,16,0,0
197,1960,52,25/05/1960,Not Relieved Of Post,Denial By Nottingham Labour Secretary,343,24,0,0
198,1960,52,25/05/1960,Aircraft Delegates See Minister,Blue Streak Decision Discussed,119,16,0,0
199,1960,52,25/05/1960,Conference Plea On Pensions,,142,13,0,0
200,1960,52,25/05/1960,Painting Of Dying Mazzini Traced,Now In U.S. Museum,288,28,0,0
201,1960,52,25/05/1960,Technical Training Week Next Year,Duke Of Edinburgh's Plan Goes Ahead,306,6,0,0
202,1960,52,25/05/1960,Check Suggested On New Drugs,Legislation Hint By Sir D. Campbell,146,3,0,0
203,1960,52,25/05/1960,The Rising Sun Rises With The Sun,Built In 12 Hours,569,17,0,0
204,1960,52,01/06/1960,Driving Gulls Out Of Dover,Campaign To End Roof Nesting Nuisance,168,7,0,0
205,1960,52,01/06/1960,Death Knell For Compulsory Latin,Last-Minute Oxford Plea Fails,473,6,0,0
206,1960,52,01/06/1960,Anatomy Of Apartheid,,95,2,1,0
207,1960,52,01/06/1960,Electronic Tax Assessment?,Tenders Out For Computer Soon,361,1,0,0
208,1960,52,01/06/1960,Informal Return For Princess Margaret,,169,34,0,0
209,1960,52,01/06/1960,Passing Of The Vanguard,End Of An Era,312,99,0,0
210,1960,52,01/06/1960,N.F.U. Talks With Ministry,Weekly Meetings Arranged,264,4,0,0
211,1960,52,01/06/1960,Surrey Seek Green Belt Extension,80 Objectors At Public Inquiry,320,14,0,0
212,1960,52,01/06/1960,Sailing Course For Boys,,113,29,0,0
213,1960,52,01/06/1960,Fish Return To The Valleys,Welsh Drive For Cleaner Rivers,542,7,0,0
214,1960,52,01/06/1960,Selections For Staff Colleges,,1100,6,0,0
215,1960,52,08/06/1960,JET Airliner Manufacture Change,Firms In Separate Groups,458,10,0,0
216,1960,52,08/06/1960,40 Road Deaths Over Holiday,Provisional Figures Down On Easter,433,10,0,0
217,1960,52,08/06/1960,"End School Meals Duties, Say Head Teachers",Vote To Form General Council Of Entire Profession,563,6,0,0
218,1960,52,08/06/1960,"?20,000 Gift To Marine College",,170,6,0,0
219,1960,52,08/06/1960,College To Train Youth Leaders,Governors Named,270,6,0,0
220,1960,52,08/06/1960,Dockers Strike Over Travel Facilities,Seek Special Transport,159,10,0,0
221,1960,52,08/06/1960,Coroner Stops A Cremation,Husband Told After Service,171,30,0,0
222,1960,52,08/06/1960,Export Credits For Clyde Shipbuilders,,164,10,0,0
223,1960,52,08/06/1960,Tiger Bay Passing Into Fo'c'sle Mythology,Airy Buildings Rising In Dingy Cardiff Dock Area,697,14,0,0
224,1960,52,08/06/1960,4 Doctors In Drifting Yacht Rescued,Engines Packed Up And Mast Blew Overboard,171,34,0,0
225,1960,52,15/06/1960,Man Loses Civil Defence Claim,No Right In Law To Sue Council,729,12,0,0
226,1960,52,15/06/1960,Rating On Current Rentals,Revaluation In Three Years,234,15,0,0
227,1960,52,15/06/1960,At Approved School,Father's Allegations,289,6,0,0
228,1960,52,15/06/1960,Vauxhall Plans For Expansion,Northern Factory On Former Airfield,298,10,0,0
229,1960,52,15/06/1960,Vulnerable To Exploitation,Risks In Inheritance Of Power,324,99,0,0
230,1960,52,15/06/1960,Tamburlaine Well Spaced Out,Brilliant Experiment At Oxford,376,28,0,0
231,1960,52,22/06/1960,Cambridge Tripos Results: Natural Sciences,,4361,6,0,0
232,1960,52,22/06/1960,Doubts On Drug Safety,Disadvantages Of Some Treatment,555,3,0,0
233,1960,52,22/06/1960,"?2,680,000 Roads Contract",Five-Mile Motorway By-Passing Stafford,146,10,0,0
234,1960,52,22/06/1960,Caborn-Waterfield Petition Refused,,101,20,0,0
235,1960,52,22/06/1960,Reports Of Polluted Beaches Unfair,Mayor On High Cost Of Redesigned Systems,234,7,0,0
236,1960,52,22/06/1960,Pilot Blamed For Crash,Wrong Altitude,407,10,0,0
237,1960,52,22/06/1960,Pilots' Association Reject Findings,Largely Design-Induced,189,10,0,0
238,1960,52,22/06/1960,New Magazine For Anglicans,Launching By Dr. Fisher,249,31,0,0
239,1960,52,22/06/1960,Minister Calls For U.S. Sales Drive,Trade Too Concentrated On Cars And Whisky,374,18,0,0
240,1960,52,22/06/1960,May Broke All Milk Records,,117,4,0,0
241,1960,52,29/06/1960,Bonus Plan For Bus Crews,"Pay For Quality Of Service, London Delegates Urged To Accept",501,10,0,0
242,1960,52,29/06/1960,Chichester Will Have New Look,Ring Road Plan Approved,469,24,0,0
243,1960,52,29/06/1960,President Defends Union Secretary,Tobacco Workers Asked To Have Confidence,244,5,0,0
244,1960,52,29/06/1960,Gas To Cost More In The South-East,"1,500,000 Affected",421,8,0,0
245,1960,52,29/06/1960,Dorset Search For Missing Mother,,104,12,0,0
246,1960,52,29/06/1960,Dockers Returning At Manchester,Liverpool Men To Meet Today,197,10,0,0
247,1960,52,29/06/1960,Of Stained Glass,Dean Of Gloucester's Criticism,183,28,0,0
248,1960,52,29/06/1960,Fitting Out Of Dreadnought,Unlikely To Be In Service Until 1962,435,16,0,0
249,1960,52,29/06/1960,Record Number In Work Last Year,Short-Time Reduced,232,1,0,0
250,1960,52,29/06/1960,National Trust Buys Lakeland Farms,,105,21,0,0
251,1960,52,29/06/1960,Grants To The Arts And Sciences,Help From Southern Television,159,17,0,0
252,1960,52,29/06/1960,Road Haulage Men's Pay Claim,,95,10,0,0
253,1960,52,06/07/1960,Pit Strike Threat Backed By Union Delegates,Of Moves For Decentralization,1040,8,0,0
254,1960,52,06/07/1960,Railwaymen Reject Labour Proposals On Clause 4,,694,10,0,0
255,1960,52,06/07/1960,Odhams Deny Report About 'Daily Herald,Approach Made To T.U.C. On Policy,532,17,0,0
256,1960,52,06/07/1960,Bovril's Popularity Keeps On Growing,Lord Luke reviews an all-time record year,1122,15,0,0
257,1960,52,06/07/1960,Flamsteed House To Be Opened Today,Part Of The National Maritime Museum,382,21,0,0
258,1960,52,06/07/1960,Europe's Trade Pacts Blamed,President Frondizi On Discrimination,516,19,0,0
259,1960,52,06/07/1960,Lord Stansgate Recalls 1890s Refugee Jews,Passionate Anger' At Their Plight,294,2,0,0
260,1960,52,06/07/1960,Museums Delegates Invited To Russia,Conference Report,400,19,0,0
261,1960,52,06/07/1960,?136M. In Assistance Grants,,108,20,0,0
262,1960,52,06/07/1960,Largest Entry By Percherons,,615,29,0,0
263,1960,52,13/07/1960,Holidays For Car Workers Unchanged,Plan To Advance Them Fails,358,10,0,0
264,1960,52,13/07/1960,Appeal To Abandon Opencast Site,,135,8,0,0
265,1960,52,13/07/1960,Schools' Dental Service Scandal,Of Local Authorities,282,6,0,0
266,1960,52,13/07/1960,"1,082ft. Span Of Two-Town Bridge",Old Transporter To Go,432,10,0,0
267,1960,52,13/07/1960,B.B.C. Field Sports Policy 'Unchanged,Reply To Society's Claim,257,17,0,0
268,1960,52,13/07/1960,Spiritual Healers In Hospital,Resurrection Of The Witch Doctor,207,3,0,0
269,1960,52,13/07/1960,Show Makes Profit On First Day,,124,99,0,0
270,1960,52,13/07/1960,"33 Depositors To Share ? 7,227",Cash Recovered After Bank Robbery,340,15,0,0
271,1960,52,13/07/1960,Affront,Move On Appeal To Lords Defeated,340,20,0,0
272,1960,52,13/07/1960,Tredegar Objection To Bevan Memorial Site,,122,30,0,0
273,1960,52,13/07/1960,Bamboo Splinter Led To Death,,118,34,0,0
274,1960,52,13/07/1960,Urgent Needs Of Nurses,Views On Status In Survey,469,3,0,0
275,1960,52,13/07/1960,Cultural Exchange With Spain,Convention Signed In London,233,19,0,0
276,1960,52,13/07/1960,Provisional Contract For Whaling Ships,?3M. Hector Deal With Japanese Firm,256,4,0,0
277,1960,52,20/07/1960,King And Queen Of Siam Begin State Visit,Gift Of 400lb. Teak Elephant,506,19,0,0
278,1960,52,20/07/1960,British Sense Of Fair Play Praised By Royal Visitor,The Queen Speaks At State Banquet Of Closer Ties,946,19,0,0
279,1960,52,20/07/1960,Jehovah Witnesses In Conspiracy,Justice's Comment,293,31,0,0
280,1960,52,20/07/1960,Three Killed In Bomber Crash,One Of Crew Escapes Unhurt,294,16,0,0
281,1960,52,20/07/1960,Great International Gathering,The Queen's Gift Of A Silver Bell To Mark Tercentenary,896,19,0,0
282,1960,52,20/07/1960,Negotiations To Link Two Newspapers,Manchester Plan For New Company,186,17,0,0
283,1960,52,27/07/1960,Coroner Comments On Naval Picnic Drinks,,177,16,0,0
284,1960,52,27/07/1960,Pay Rise Offer To I.C.I. Workers,Talks To Be Resumed On August 3,340,5,0,0
285,1960,52,27/07/1960,"?48,000 Fruit Sale",,197,4,0,0
286,1960,52,27/07/1960,Battle Of The Bulge,No Less Challenging Lie Ahead,772,3,0,0
287,1960,52,27/07/1960,Skipper Suspended For Two Years,Vessel Abandoned Prematurely,209,10,0,0
